"rendaMensal","n","percentage"
"De R$ 880,01 até R$ 1.320,00.",42472,"19.56%"
"De R$ 1.320,01 até R$ 1.760,00.",28672,"13.20%"
"Até R$ 880,00.",25502,"11.74%"
"De R$ 1.760,01 até R$ 2.200,00.",23979,"11.04%"
"De R$ 2.640,01 até R$ 3.520,00.",21870,"10.07%"
"De R$ 2.200,01 até R$ 2.640,00.",17959," 8.27%"
"De R$ 3.520,01 até R$ 4.400,00.",15685," 7.22%"
"De R$ 4.400,01 até R$ 5.280,00.",11280," 5.19%"
"De R$ 5.280,01 até R$ 6.160,00.",7128," 3.28%"
"De R$ 6.160,01 até R$ 7.040,00.",3869," 1.78%"
"De R$ 8.800,01 até R$ 10.560,00.",3811," 1.75%"
"Nenhuma renda.",3279," 1.51%"
"De R$ 10.560,01 até R$ 13.200,00.",2917," 1.34%"
"De R$ 7.920,01 até R$ 8.800,00.",2588," 1.19%"
"De R$ 7.040,01 até R$ 7.920,00.",2257," 1.04%"
"De R$ 13.200,01 até R$ 17.600,00.",1979," 0.91%"
"Mais de R$ 17.600,00.",1921," 0.88%"
